user,item,rating
9919568,6383025,5
9321298,2487729,1
4999772,6968430,2
1923355,1552869,8
8938855,6000153,4
1445787,6278705,7
8187727,4972437,5
2303091,9738646,8
7821509,9611792,8
7259662,6957551,4
6328157,2518942,4
4418426,6486457,6
6177904,6085530,7
9639459,6494817,7
6265584,1961313,7
4056551,8130458,7
4675198,9567571,3
4315111,6383025,5
5849904,1262296,4
3327904,7635104,3
7306137,9083322,7
9875666,7660791,6
1126817,3104566,2
4857969,3330881,1
7657388,7391178,5
9719274,2131601,4
2039918,5273506,2
5731138,17106,5
5768804,9616563,3
8869303,4253090,7
8302740,7244274,4
1974554,5612173,6
5982897,3979897,3
3598637,6101857,5
5941499,4469424,2
9204944,549142,5
1991806,3952549,8
9678359,4469424,2
5840732,98905,7
1282791,1333382,9
9464646,7259459,5
4462838,6989647,6
2268212,5256301,5
8217493,8524718,2
551756,4831290,2
1409218,4666698,6
2384072,6752339,4
3563626,7425201,6
1018157,4004519,2
3011459,9321532,3
9557493,6161553,5
2841737,8803256,5
492246,1608107,7
5939118,6764525,4
6314396,1129981,6
6150740,9927841,5
9734220,4380015,7
6393559,7227194,6
1891006,6159398,7
9259528,4466514,5
9339358,8627542,2
1695456,9515960,5
774938,169365,4
2192517,8434733,6
6677065,549142,5
6637263,256280,6
6759196,47467,4
13308,9129728,7
2918749,6764525,4
971189,7753251,4
2583302,6159398,7
9073078,6085530,6
6374506,5286577,4
9644037,1386164,2
5335504,9765877,2
2326518,5300235,5
896457,189700,5
8100869,6589195,5
9980068,9370156,5
719654,10709,2
4784573,2392127,2
8799123,691383,4
4016077,6025450,4
7543312,3685536,5
4687925,7350355,3
5782352,1730932,5
975662,4498285,5
1900157,4444333,2
4411887,9467587,2
2315976,6906995,8
6211804,7675963,1
5725958,4831290,2
8887440,6597860,5
8966149,8899784,4
2330382,3316187,2
3234054,3267462,5
8386678,1359405,3
4441092,2700084,3
3954954,6989647,6
4699191,7635104,3
3481521,270108,4
3469742,2758090,3
3603896,8795029,5
5507342,6734539,2
3454009,2395541,3
7417921,8883101,5
2720984,4825180,3
3596428,6325092,7
4416304,242656,2
6383013,9338608,4
4267078,9096626,4
1880765,4760479,2
5035890,2981160,5
6474394,1176549,2
6242161,7517899,4
7308674,1167325,7
3744866,289068,3
2332956,6583741,5
6374284,389432,3
3944138,3292428,5
7321267,7338141,3
8143771,6809937,4
9529810,166146,7
773331,797437,4
3073267,6288670,4
5402572,9996727,3
7891382,8140265,3
2634256,6369563,6
4854731,8524718,3
7661227,7880000,3
631144,7350355,3
7034552,7665470,10
7434982,6727504,5
1806344,5407809,2
5540036,5955854,2
4520580,3060240,2
1035217,8584893,4
5117284,1893676,3
8059624,8450959,5
2524659,6764525,4
7927355,4573165,7
4872590,241703,7
3976135,9116963,2
7170532,7660791,7
4337089,170332,9
4889067,8803427,2
1609215,5065092,2
5287575,2367695,7
9312322,5885410,4
8794451,3930380,6
1299337,624375,4
9320208,9545344,7
4164495,7391178,5
9464646,6789882,2
6654518,5355658,5
8406369,3691308,3
6636247,650405,4
4146309,457459,5
8981513,7282713,6
9825372,9815958,4
